builder_name,possession,price,title
Salarpuria Sattva Melody,Ready To Move, ₹82.09 L,2 BHK Residential Apartment in Mysore Road
Kolte Patil Raaga,Ready To Move, ₹52.98 L ,2 BHK Residential Apartment in Hennur Road
Salarpuria Sattva Northland,Ready To Move, ₹3 Cr,4 Bedroom Independent House/Villa in Chikkagubbi
NR Orchid Gardenia,Ready To Move, ₹3.5 Cr,4 BHK Residential Apartment in Rachenahalli
MIMS Residency,Ready To Move, ₹65.1 L,3 BHK Residential Apartment in Thanisandra
Vaishnavi Mandara,Ready To Move, ₹1.03 Cr - 1.07 Cr,3 BHK Residential Apartment in Yeshwanthpur
Balaji Elite Bangalore,Ready To Move, ₹38.07 L,3 BHK Residential Apartment in Bommasandra
NR Windgates,Ready To Move, ₹51.47 L - 58.93 L,2 BHK Residential Apartment in Thanisandra
Sreenidhi Alpine,Ready To Move, ₹47 L - 56.11 L,3 BHK Residential Apartment in Whitefield
KMF Purab Manor,Ready To Move, ₹61.94 L ,3 BHK Residential Apartment in Kadugodi
